,신·재생에너지 공급비중(%),재생에너지(공급비중),신에너지(공급비중)
2007,2.36979186912176,2.369017821681779,0.0007740474399817473
2008,2.430965501215798,2.4291530079587043,0.0018120783090035436
2009,2.4994862422997945,2.4916041067761805,0.007882135523613965
2010,2.596831360666603,2.5807927279613674,0.016039011457248366
2011,2.7375188178933345,2.714651061202829,0.022868117705245904
2012,3.1800014371687775,3.150356238210725,0.02964519895805264
2013,3.5330452072969676,3.489266262074293,0.043778945222674816
2014,4.085136833756457,4.014544495313767,0.07059233844269057
2015,4.632801488038512,4.552134988658869,0.08066649937964396
2016,4.82623211712278,4.7180824258593095,0.10814969126347104
2017,5.4452933895189455,5.250910692691099,0.19438269682784556
2018,5.800796458862203,5.560526838373799,0.24026962048840486
